"2025-08-21 15:42:07",Cassielle,17,"SLOWRUN ULTIME SUR ZELDA TOTK - JOUR 180- 637h - 99,71% | !EA !prog !wishlist !etsy",2025-08-21T12:43:47Z,1,512998
"2025-08-21 15:42:07",SolalGon,17,"Reprise tranquille TotK [Shrines 130/152] -> Ocarina of Time Master Quest après !",2025-08-21T11:16:06Z,2,512998
"2025-08-21 15:42:07",Kaaena,4,"[FR/EN] On reprend TotK  en douceur !",2025-08-21T12:51:05Z,3,512998
"2025-08-21 15:42:07",hidorik,3,"On fait le 100% de TOTK !",2025-08-21T12:22:31Z,4,512998
"2025-08-21 15:42:07",Shaurts,2,"Le retour de Totk !",2025-08-21T12:31:39Z,5,512998
"2025-08-21 15:42:07",SYLKAR,1,"LET'S PLAY SUR THE LEGEND OF ZELDA : TEARS OF THE KINGDOM !",2025-08-21T13:15:14Z,6,512998
"2025-08-21 15:42:07",noa26helena,1,"On joue chill",2025-08-21T13:29:05Z,7,512998
"2025-08-21 15:42:07",litium16,1,"#? Bienvenue chill stream ! NS2",2025-08-21T13:30:21Z,8,512998
"2025-08-21 15:55:46",Cassielle,17,"SLOWRUN ULTIME SUR ZELDA TOTK - JOUR 180- 637h - 99,71% | !EA !prog !wishlist !etsy",2025-08-21T12:43:47Z,1,512998
"2025-08-21 15:55:46",SolalGon,11,"Reprise tranquille TotK [Shrines 130/152] -> Ocarina of Time Master Quest après !",2025-08-21T11:16:06Z,2,512998
"2025-08-21 15:55:46",Kaaena,4,"[FR/EN] On reprend TotK  en douceur !",2025-08-21T12:51:05Z,3,512998
"2025-08-21 15:55:46",hidorik,2,"On fait le 100% de TOTK !",2025-08-21T12:22:31Z,4,512998
"2025-08-21 15:55:46",Shaurts,2,"Le retour de Totk !",2025-08-21T12:31:39Z,5,512998
"2025-08-21 15:55:46",SYLKAR,1,"LET'S PLAY SUR THE LEGEND OF ZELDA : TEARS OF THE KINGDOM !",2025-08-21T13:15:14Z,6,512998
"2025-08-21 15:55:46",Fondue1234,1,"TotK IL speedruns for WR",2025-08-21T11:59:49Z,7,512998
"2025-08-21 15:55:46",litium16,1,"#? Bienvenue chill stream ! NS2",2025-08-21T13:30:21Z,8,512998
